IsUrban;NTLBin;NTLArea;X_deg;Y_deg;GridCellArea;ID;Pop;Elevation;LandCover;NightLights;Slope;GHI;TravelHours;WindVel;SubstationDist;RoadDist;CurrentMVLineDist;PlannedMVLinedist;Hydropower;HydropowerFID;HydropowerDist;X;Y;CurrentHVLineDist;PlannedHVLineDist;TransformerDist;ResidentialDemandTierCustom;NTLBin.1;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;Conflict;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;Country;RoadDistClassified;SubstationDistClassified;LandCoverClassified;ElevationClassified;SlopeClassified;GridClassification;GridPenalty;WindCF;PopStartYear;PopEndYear;Pop2023;Pop2030;Pop2018;ElecPop;ElecStart;GridDistCalibElec;Elec_Initial_Status_Grid2018;Elec_Init_Status_Offgrid2018;Actual_Elec_Status_2018;FinalElecCode2018;GridReachYear;NumPeoplePerHH;TotalEnergyPerCell;InvestmentCostLV2030;InvestmentCostMV2030;InvestmentCostHV2030;InvestmentCostTransformer2030;InvestmentCostConnection2030;InfrastructureCapitaCost2030;ResultsNoTimestep;NewConnections2023;EnergyPerSettlement2023;MG_Hydro2023;MG_PV2023;MG_Wind2023;MG_Diesel2023;SA_Diesel2023;SA_PV2023;Minimum_Tech_Off_grid2023;Minimum_LCOE_Off_grid2023;Off_Grid_Code2023;Elec_Initial_Status_Grid2023;Elec_Init_Status_Offgrid2023;Actual_Elec_Status_2023;Grid_extension2023;MinGridDist2023;ElectrificationOrder2023;MinimumOverall2023;MinimumOverallLCOE2023;MinimumOverallCode2023;InvestmentCost2023;InvestmentCapita2023;ElecStatusIn2023;GridElecIn2023;OffGridElecIn2023;FinalElecCode2023;NewCapacity2023;InvestmentCostLV2023;InvestmentCostMV2023;InvestmentCostHV2023;InvestmentCostTransformer2023;InvestmentCostConnection2023;InfrastructureCapitaCost2023;NewConnections2030;EnergyPerSettlement2030;MG_Hydro2030;MG_PV2030;MG_Wind2030;MG_Diesel2030;SA_Diesel2030;SA_PV2030;Minimum_Tech_Off_grid2030;Minimum_LCOE_Off_grid2030;Off_Grid_Code2030;Elec_Initial_Status_Grid2030;Elec_Init_Status_Offgrid2030;Actual_Elec_Status_2030;Grid_extension2030;MinGridDist2030;ElectrificationOrder2030;MinimumOverall2030;MinimumOverallLCOE2030;MinimumOverallCode2030;InvestmentCost2030;ElecStatusIn2030;GridElecIn2030;OffGridElecIn2030;FinalElecCode2030;NewCapacity2030
0;0;0.16001;33.13343;-13.77613;0.034;mw-168913;65.33407234;1094;14;0.16001;0.66719;2049;1.53333;4.87407;62.51619;2.3655;2.34729;2.34729;221;2216;16.64294;3261421.221;-1697049.311;3.16672576;3.16672576;2.33112;106.9444444;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.070772291;73.24732073;105.503743;85.27534044;105.503743;73.24732073;0;0;2.33112;0;0;0;99;2018;5.5;4621.063943;0;0;0;0;0;0;3;85.27534044;3735.059911;99;0.438514641;99;0.830636411;0.771599501;0.375332152;SA_PV2023;0.375332152;3;0;0;0;99;0;0;SA_PV2023;0.375332152;3;11139.75897;130.632829;0;0;0;99;0;0;0;0;0;0;0;105.503743;4621.063943;99;0.410362048;99;0.802210235;0.76773307;0.38469153;SA_PV2030;0.38469153;3;0;0;1;99;0;0;SA_PV2030;0.38469153;3;9379.969415;1;0;1;3;2.505864076
0;0;0.0013;33.13363;-9.60338;0.009;mw-168962;4.414611915;1423;9;0.0013;4.48531;2145;2.83333;4.6826;92.98253;5.83655;7.23053;7.23053;337;3052;57.88894;3291949.257;-1185276.947;18.96611378;18.96611378;12.56731;88.48148148;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;4;1;5;3;5;3.75;1.093553159;0.061136494;4.949308734;7.128869582;5.762039935;7.128869582;4.949308734;0;0;12.56731;0;0;0;99;2018;5.5;312.2444877;0;0;0;0;0;0;3;5.762039935;252.3773492;99;2.223138167;99;2.75540983;0.836961946;0.35853407;SA_PV2023;0.35853407;3;0;0;0;99;0;0;SA_PV2023;0.35853407;3;719.0237868;124.7863248;0;0;0;99;0;0;0;0;0;0;0;7.128869582;312.2444877;99;1.87545305;99;2.402069791;0.833095515;0.367474566;SA_PV2030;0.367474566;3;0;0;1;99;0;0;SA_PV2030;0.367474566;3;605.4368994;1;0;1;3;0.161742806
0;0;0.04;33.13363;-9.50421;0.009;mw-168967;5.142003404;1302;9;0.04;0.89256;2172;2.13333;5.28141;98.12329;1.68212;9.39349;9.39349;337;3052;59.08279;3292541.315;-1173080.771;26.70262245;26.70262244;10.20211;112.8518519;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.09314688;5.764801719;8.303486776;6.711445883;8.303486776;5.764801719;0;0;10.20211;0;0;0;99;2018;5.5;363.6927208;0;0;0;0;0;0;3;6.711445883;293.9613297;99;1.948907797;99;2.462094297;0.801766784;0.354077155;SA_PV2023;0.354077155;3;0;0;1;99;0;0;SA_PV2023;0.354077155;3;827.0857956;123.2351136;1;0;1;3;0.150379236;0;0;0;0;0;0;1.592040893;69.73139111;99;7.907830387;99;8.944170351;0.797900352;0.362906512;SA_PV2030;0.362906512;3;0;1;1;99;0;0;SA_PV2030;0.362906512;3;133.5272519;1;0;1;3;0.03567188
0;0;0.04;33.13363;-9.58672;0.009;mw-169022;5.157282553;1440;9;0.04;4.62538;2140;2.45;5.15861;93.77657;4.31065;6.59039;6.59039;337;3052;57.94634;3292049.193;-1183227.265;20.05675012;20.05675011;11.49194;72.33333333;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.086153625;5.781931475;8.32816008;6.731388534;8.32816008;5.781931475;0;0;11.49194;0;0;0;99;2018;5.5;364.7734115;0;0;0;0;0;0;3;6.731388534;294.8348178;99;1.946444838;99;2.457486984;0.817688572;0.359371766;SA_PV2023;0.359371766;3;0;0;0;99;0;0;SA_PV2023;0.359371766;3;841.9478182;125.0778816;0;0;0;99;0;0;0;0;0;0;0;8.32816008;364.7734115;99;1.648171502;99;2.154403059;0.813822141;0.368333151;SA_PV2030;0.368333151;3;0;0;1;99;0;0;SA_PV2030;0.368333151;3;708.9421601;1;0;1;3;0.189394295
0;0;0.04;33.13363;-13.89259;0.008;mw-169023;5.359507234;1073;9;0.04;0.53101;2052;0.8;4.55143;58.66203;2.65699;2.80919;2.80919;221;2216;22.60428;3260433.214;-1711287.645;9.71098487;4.10823335;3.24131;137.4444444;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.054896722;6.008649565;8.654719561;6.99533624;8.654719561;6.008649565;0;0;3.24131;0;0;0;99;2018;5.5;379.0767168;0;0;0;0;0;0;3;6.99533624;306.3957273;99;1.8800015;99;2.375229374;0.734728547;0.374783421;SA_PV2023;0.374783421;3;0;0;0;99;0;0;SA_PV2023;0.374783421;3;912.484568;130.4418454;0;0;0;99;0;0;0;0;0;0;0;8.654719561;379.0767168;99;1.594168581;99;2.084657033;0.730862115;0.384129115;SA_PV2030;0.384129115;3;0;0;1;99;0;0;SA_PV2030;0.384129115;3;768.3359546;1;0;1;3;0.20526138
0;0;0.04;33.13363;-13.89093;0.008;mw-169026;5.719502128;1073;9;0.04;0.53101;2052;0.8;4.55143;58.69871;2.83666;3.23061;3.23061;221;2216;22.47783;3260447.707;-1711083.896;9.52668379;3.92791198;3.33004;102;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.054896722;6.412246961;9.236051895;7.46520879;9.236051895;6.412246961;0;0;3.33004;0;0;0;99;2018;5.5;404.539073;0;0;0;0;0;0;3;7.46520879;326.976145;99;1.780335053;99;2.268348639;0.734728547;0.374783421;SA_PV2023;0.374783421;3;0;0;0;99;0;0;SA_PV2023;0.374783421;3;973.7756105;130.4418454;0;0;0;99;0;0;0;0;0;0;0;9.236051895;404.539073;99;1.512266894;99;1.995845926;0.730862115;0.384129115;SA_PV2030;0.384129115;3;0;0;1;99;0;0;SA_PV2030;0.384129115;3;819.9446209;1;0;1;3;0.219048664
0;0;0.04;33.13363;-13.73343;0.008;mw-169030;5.838504681;1088;9;0.04;0.45044;2053;1.5;4.89834;64.49198;2.8165;2.8434;2.8434;221;2216;16.53438;3261809.436;-1691827.058;7.89026158;7.89026158;2.90429;26;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.072036365;6.545663077;9.428221376;7.620533307;9.428221376;6.545663077;0;0;2.90429;0;0;0;99;2018;5.5;412.9560963;0;0;0;0;0;0;3;7.620533307;333.7793588;99;1.749977181;99;2.237321215;0.769923709;0.374600867;SA_PV2023;0.374600867;3;0;0;0;99;0;0;SA_PV2023;0.374600867;3;993.5522399;130.3783082;0;0;0;99;0;0;0;0;0;0;0;9.428221376;412.9560963;99;1.487301367;99;1.970304291;0.766057278;0.383942009;SA_PV2030;0.383942009;3;0;0;1;99;0;0;SA_PV2030;0.383942009;3;836.5970619;1;0;1;3;0.223497373
0;0;0.04;33.13363;-13.74176;0.008;mw-169031;5.839201702;1086;9;0.04;0.60246;2052;1.63333;4.89834;64.07994;3.27806;3.75583;3.75583;221;2216;16.44499;3261737.779;-1692846.063;6.96870499;6.96870499;3.8166;35.44444444;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.072036365;6.546444521;9.42934695;7.621443073;9.42934695;6.546444521;0;0;3.8166;0;0;0;99;2018;5.5;413.0053964;0;0;0;0;0;0;3;7.621443073;333.8192066;99;1.749887578;99;2.237408748;0.776627382;0.374783421;SA_PV2023;0.374783421;3;0;0;0;99;0;0;SA_PV2023;0.374783421;3;994.1550987;130.4418454;0;0;0;99;0;0;0;0;0;0;0;9.42934695;413.0053964;99;1.487243775;99;1.9704233;0.77276095;0.384129115;SA_PV2030;0.384129115;3;0;0;1;99;0;0;SA_PV2030;0.384129115;3;837.1046848;1;0;1;3;0.223632985
0;0;0.04;33.13363;-9.49338;0.009;mw-169063;6.175874043;1295;9;0.04;1.0568;2180;2.01667;5.28141;98.7425;2.04658;9.58552;9.58552;337;3052;59.33472;3292605.62;-1171748.333;27.6804252;27.6804252;10.61971;43.9021164;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.09314688;6.923894541;9.973017211;8.060874559;9.973017211;6.923894541;0;0;10.61971;0;0;0;99;2018;5.5;436.8181538;0;0;0;0;0;0;3;8.060874559;353.0663057;99;1.670689548;99;2.16413992;0.795901258;0.352777789;SA_PV2023;0.352777789;3;0;0;1;99;0;0;SA_PV2023;0.352777789;3;989.7373503;122.7828746;1;0;1;3;0.179952246;0;0;0;0;0;0;1.912142652;83.75184816;99;6.716961457;99;7.653254796;0.792034827;0.361574745;SA_PV2030;0.361574745;3;0;1;1;99;0;0;SA_PV2030;0.361574745;3;159.7862147;1;0;1;3;0.042686977
0;0;0.04;33.13363;-13.28342;0.008;mw-169064;6.281511489;1088;9;0.04;0.27432;2074;2.3;5.19632;46.76779;3.02751;4.71348;4.71348;3862;12100;52.83121;3265613.995;-1636780.474;7.68369619;7.68369619;4.81357;102;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.088279697;7.042326771;10.14360425;8.19875467;10.14360425;7.042326771;0;0;4.81357;0;0;0;99;2018;5.5;444.2898661;0;0;0;0;0;0;3;8.19875467;359.1054545;99;1.645500083;99;2.128799045;0.810146752;0.370807898;SA_PV2023;0.370807898;3;0;0;0;99;0;0;SA_PV2023;0.370807898;3;1058.116361;129.0581806;0;0;0;99;0;0;0;0;0;0;0;10.14360425;444.2898661;99;1.401093926;99;1.88038653;0.80628032;0.380054457;SA_PV2030;0.380054457;3;0;0;1;99;0;0;SA_PV2030;0.380054457;3;890.9617467;1;0;1;3;0.238020929
