IsUrban;NTLBin;NTLArea;X_deg;Y_deg;GridCellArea;ID;Pop;Elevation;LandCover;NightLights;Slope;GHI;TravelHours;WindVel;SubstationDist;RoadDist;CurrentMVLineDist;PlannedMVLinedist;Hydropower;HydropowerFID;HydropowerDist;X;Y;CurrentHVLineDist;PlannedHVLineDist;TransformerDist;ResidentialDemandTierCustom;NTLBin.1;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;Conflict;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;Country;RoadDistClassified;SubstationDistClassified;LandCoverClassified;ElevationClassified;SlopeClassified;GridClassification;GridPenalty;WindCF;PopStartYear;PopEndYear;Pop2023;Pop2030;Pop2018;ElecPop;ElecStart;GridDistCalibElec;Elec_Initial_Status_Grid2018;Elec_Init_Status_Offgrid2018;Actual_Elec_Status_2018;FinalElecCode2018;GridReachYear;NumPeoplePerHH;TotalEnergyPerCell;InvestmentCostLV2030;InvestmentCostMV2030;InvestmentCostHV2030;InvestmentCostTransformer2030;InvestmentCostConnection2030;InfrastructureCapitaCost2030;ResultsNoTimestep;NewConnections2023;EnergyPerSettlement2023;MG_Hydro2023;MG_PV2023;MG_Wind2023;MG_Diesel2023;SA_Diesel2023;SA_PV2023;Minimum_Tech_Off_grid2023;Minimum_LCOE_Off_grid2023;Off_Grid_Code2023;Elec_Initial_Status_Grid2023;Elec_Init_Status_Offgrid2023;Actual_Elec_Status_2023;Grid_extension2023;MinGridDist2023;ElectrificationOrder2023;MinimumOverall2023;MinimumOverallLCOE2023;MinimumOverallCode2023;InvestmentCost2023;InvestmentCapita2023;ElecStatusIn2023;GridElecIn2023;OffGridElecIn2023;FinalElecCode2023;NewCapacity2023;InvestmentCostLV2023;InvestmentCostMV2023;InvestmentCostHV2023;InvestmentCostTransformer2023;InvestmentCostConnection2023;InfrastructureCapitaCost2023;NewConnections2030;EnergyPerSettlement2030;MG_Hydro2030;MG_PV2030;MG_Wind2030;MG_Diesel2030;SA_Diesel2030;SA_PV2030;Minimum_Tech_Off_grid2030;Minimum_LCOE_Off_grid2030;Off_Grid_Code2030;Elec_Initial_Status_Grid2030;Elec_Init_Status_Offgrid2030;Actual_Elec_Status_2030;Grid_extension2030;MinGridDist2030;ElectrificationOrder2030;MinimumOverall2030;MinimumOverallLCOE2030;MinimumOverallCode2030;InvestmentCost2030;ElecStatusIn2030;GridElecIn2030;OffGridElecIn2030;FinalElecCode2030;NewCapacity2030
0;0;0.04;33.18364;-13.31592;0.008;mw-168913;4.888055319;1049;9;0.04;0.46418;2082;1.98333;4.87553;44.86995;0.94046;1.00387;1.00387;3862;12100;47.17535;3270271.317;-1640757.384;1.18311727;1.18311727;0.95546;102;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.070848069;5.480095498;7.893402535;6.379987754;7.893402535;5.480095498;0;0;0.95546;0;0;0;99;2018;5.5;345.731031;0;0;0;0;0;0;3;6.379987754;279.4434636;99;2.029967375;99;2.541149469;0.794224963;0.369383084;SA_PV2023;0.369383084;3;0;0;0;99;0;0;SA_PV2023;0.369383084;3;820.2257711;128.5622799;0;0;0;99;0;0;0;0;0;0;0;7.893402535;345.731031;99;1.716905414;99;2.222911216;0.790358532;0.378594113;SA_PV2030;0.378594113;3;0;0;1;99;0;0;SA_PV2030;0.378594113;3;690.6516263;1;0;1;3;0.184507968
0;0;0.04;33.18364;-13.68009;0.008;mw-168962;5.287835745;1073;9;0.04;0.2149;2057;1.81667;4.9176;62.81381;1.28581;5.83006;5.83006;221;2216;13.57479;3267190.19;-1685305.101;13.958834;13.958834;5.78859;28.11111111;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.073046103;5.928297241;8.538981936;6.901789177;8.538981936;5.928297241;0;0;5.78859;0;0;0;99;2018;5.5;374.0074088;0;0;0;0;0;0;3;6.901789177;302.298366;99;1.901025105;99;2.400312998;0.785845498;0.373872426;SA_PV2023;0.373872426;3;0;0;0;99;0;0;SA_PV2023;0.373872426;3;898.0937788;130.1247772;0;0;0;99;0;0;0;0;0;0;0;8.538981936;374.0074088;99;1.611363089;99;2.105851136;0.781979066;0.383195403;SA_PV2030;0.383195403;3;0;0;1;99;0;0;SA_PV2030;0.383195403;3;756.2185324;1;0;1;3;0.202024204
0;0.038567082;0.04;33.18364;-13.54509;0.008;mw-168967;6.010757447;1127;9;0.04;0.63588;2077;1.65;4.85754;72.22568;0.70665;0.13292;0.13292;221;2216;25.39816;3268342.149;-1668793.878;12.31025431;12.31025431;0.94885;248.6296296;0.038567082;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.069916705;6.73877906;9.706381162;7.845361069;9.706381162;6.73877906;6.497376114;0;0.94885;0;0;0;99;2018;5.5;425.1394949;0;0;0;0;0;0;3;7.845361069;343.6268148;99;1.706261054;99;2.192887856;0.777465529;0.370272306;SA_PV2023;0.370272306;3;0;0;0;99;0;0;SA_PV2023;0.370272306;3;1011.045569;128.8717702;0;0;0;99;0;0;0;0;0;0;0;9.706381162;425.1394949;99;1.450990743;99;1.933428798;0.773599098;0.37950551;SA_PV2030;0.37950551;3;0;0;1;99;0;0;SA_PV2030;0.37950551;3;851.3269039;1;0;1;3;0.227432459
0;0;0.04;33.18364;-9.55838;0.009;mw-169022;6.431160851;1451;9;0.04;1.51056;2161;2.28333;5.83285;90.36951;0.93075;1.90028;1.90028;337;3052;52.71923;3297187.067;-1179742.716;18.65031395;18.65031395;5.18255;26;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.12672048;7.210101631;10.38526327;8.394080016;10.38526327;7.210101631;0;0;5.18255;0;0;0;99;2018;5.5;454.8745312;0;0;0;0;0;0;3;8.394080016;367.6607047;99;1.61715243;1.841492477;2.105742447;0.809308604;0.355879491;SA_PV2023;0.355879491;3;0;0;1;99;0;0;SA_PV2023;0.355879491;3;1039.710975;123.8624094;1;0;1;3;0.189038359;0;0;0;0;0;0;1.991183254;87.21382653;99;6.482674867;6.709227215;7.398181403;0.805442173;0.364753792;SA_PV2030;0.364753792;3;0;1;1;99;0;0;SA_PV2030;0.364753792;3;167.8541091;1;0;1;3;0.044842319
0;0;0.04;33.18364;-9.57255;0.009;mw-169023;6.457393191;1354;9;0.04;1.00726;2152;2.13333;5.44896;89.6124;0.44245;0.93741;0.93741;337;3052;52.5684;3297102.256;-1181485.005;17.36116895;17.36116895;6.21283;26;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.102997545;7.239511226;10.42762417;8.428318992;10.42762417;7.239511226;0;0;6.21283;0;0;0;99;2018;5.5;456.7299386;0;0;0;0;0;0;3;8.428318992;369.1603718;99;1.612433234;1.925530875;2.099638083;0.801766784;0.357367835;SA_PV2023;0.357367835;3;0;0;0;99;0;0;SA_PV2023;0.357367835;3;1048.317867;124.3804213;0;0;0;99;0;0;0;0;0;0;0;10.42762417;456.7299386;99;1.373412373;1.689700958;1.856828235;0.797900352;0.366279249;SA_PV2030;0.366279249;3;0;0;1;99;0;0;SA_PV2030;0.366279249;3;882.7111576;1;0;1;3;0.23581678
0;0;0.04;33.18364;-9.50838;0.009;mw-169026;7.194531915;1306;9;0.04;5.78931;2181;2;5.71618;93.20319;3.83052;3.88521;3.88521;337;3052;53.61544;3297485.394;-1173593.242;23.47196308;23.47196308;4.96703;30.96296296;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.119359185;8.06593203;11.61798154;9.390447226;11.61798154;8.06593203;0;0;4.96703;0;0;0;99;2018;5.5;508.8675915;0;0;0;0;0;0;3;9.390447226;411.3015885;99;1.474276291;1.724070184;1.953555117;0.795063111;0.352616039;SA_PV2023;0.352616039;3;0;0;1;99;0;0;SA_PV2023;0.352616039;3;1152.457454;122.726578;1;0;1;3;0.209537719;0;0;0;0;0;0;2.227534314;97.56600295;99;5.874722612;6.127012199;6.740010299;0.791196679;0.361408961;SA_PV2030;0.361408961;3;0;1;1;99;0;0;SA_PV2030;0.361408961;3;186.0562444;1;0;1;3;0.04970503
0;0.001722121;0.04;33.18364;-13.56092;0.008;mw-169030;9.650182128;1120;9;0.04;0.33068;2075;1.65;4.87319;71.02387;1.48492;1.13538;1.13538;221;2216;23.83124;3268207.638;-1670730.566;13.24187352;13.24187351;1.12671;264.575;0.001722121;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.070726632;10.81901005;15.58345131;12.59561109;15.58345131;10.81901005;0.46579111;0;1.12671;0;0;0;99;2018;5.5;682.5551674;0;0;0;0;0;0;3;12.59561109;551.6877657;99;1.169909986;99;1.61753701;0.777465529;0.370629195;SA_PV2023;0.370629195;3;0;0;0;99;0;0;SA_PV2023;0.370629195;3;1624.783246;128.9959839;0;0;0;99;0;0;0;0;0;0;0;15.58345131;682.5551674;99;1.009918003;99;1.454965527;0.773599098;0.379871298;SA_PV2030;0.379871298;3;0;0;1;99;0;0;SA_PV2030;0.379871298;3;1368.110136;1;0;1;3;0.365491388
0;0;0.04;33.18364;-13.35925;0.008;mw-169031;23.33705787;1043;9;0.04;0.1666;2082;2.86667;5.10249;48.2897;5.73124;4.20151;4.20151;3862;12100;47.24276;3269909.068;-1646059.613;1.36980204;1.36980204;4.25106;110.9166667;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;4;1;5;3;5;3.75;1.093553159;0.083026033;26.16363716;37.68549653;30.45999558;37.68549653;26.16363716;0;0;4.25106;0;0;0;99;2018;5.5;1650.624748;0;0;0;0;0;0;3;30.45999558;1334.147806;99;0.639165364;99;1.051489402;0.838638241;0.369383084;SA_PV2023;0.369383084;3;0;0;0;99;0;0;SA_PV2023;0.369383084;3;3916.006476;128.5622799;0;0;0;99;0;0;0;0;0;0;0;37.68549653;1650.624748;99;0.572403739;99;0.983670885;0.83477181;0.378594113;SA_PV2030;0.378594113;3;0;0;1;99;0;0;SA_PV2030;0.378594113;3;3297.38023;1;0;1;3;0.880896973
0;0;0.04;33.18364;-13.53759;0.008;mw-169063;24.04045191;1136;9;0.04;0.62879;2078;1.68333;4.85754;64.24059;0.34729;0.06842;0.06842;221;2216;26.14858;3268405.81;-1667876.482;11.86792868;11.86792868;0.56569;153.0601852;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.069916705;26.95222613;38.8213618;31.37807958;38.8213618;26.95222613;0;0;0.56569;0;0;0;99;2018;5.5;1700.375647;0;0;0;0;0;0;3;31.37807958;1374.359886;99;0.628330267;99;1.03708828;0.779141322;0.370094119;SA_PV2023;0.370094119;3;0;0;0;99;0;0;SA_PV2023;0.370094119;3;4041.802679;128.809753;0;0;0;99;0;0;0;0;0;0;0;38.8213618;1700.375647;99;0.56351668;99;0.971243941;0.775274891;0.37932288;SA_PV2030;0.37932288;3;0;0;1;99;0;0;SA_PV2030;0.37932288;3;3403.303933;1;0;1;3;0.90919455
0;0;0.12001;33.18364;-13.27092;0.025;mw-169064;35.6181966;1072;9;0.12001;0.13836;2068;1.88333;5.01909;41.60687;3.67421;3.45864;3.45864;3862;12100;47.61888;3270646.246;-1635250.839;3.83327644;3.83327644;3.64309;102;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.078461252;39.9322647;57.51750849;46.48958395;57.51750849;39.9322647;0;0;3.64309;0;0;0;99;2018;5.5;2519.266872;0;0;0;0;0;0;3;46.48958395;2036.243777;99;0.555167137;99;0.958155666;0.789197083;0.371883743;SA_PV2023;0.371883743;3;0;0;0;99;0;0;SA_PV2023;0.371883743;3;6017.268845;129.4326241;0;0;0;99;0;0;0;0;0;0;0;57.51750849;2519.266872;99;0.506672809;99;0.909109775;0.785330651;0.38115713;SA_PV2030;0.38115713;3;0;0;1;99;0;0;SA_PV2030;0.38115713;3;5066.698291;1;0;1;3;1.353571283
