IsUrban;NTLBin;NTLArea;X_deg;Y_deg;GridCellArea;ID;Pop;Elevation;LandCover;NightLights;Slope;GHI;TravelHours;WindVel;SubstationDist;RoadDist;CurrentMVLineDist;PlannedMVLinedist;Hydropower;HydropowerFID;HydropowerDist;X;Y;CurrentHVLineDist;PlannedHVLineDist;TransformerDist;ResidentialDemandTierCustom;NTLBin.1;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;Conflict;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;Country;RoadDistClassified;SubstationDistClassified;LandCoverClassified;ElevationClassified;SlopeClassified;GridClassification;GridPenalty;WindCF;PopStartYear;PopEndYear;Pop2023;Pop2030;Pop2018;ElecPop;ElecStart;GridDistCalibElec;Elec_Initial_Status_Grid2018;Elec_Init_Status_Offgrid2018;Actual_Elec_Status_2018;FinalElecCode2018;GridReachYear;NumPeoplePerHH;TotalEnergyPerCell;InvestmentCostLV2030;InvestmentCostMV2030;InvestmentCostHV2030;InvestmentCostTransformer2030;InvestmentCostConnection2030;InfrastructureCapitaCost2030;ResultsNoTimestep;NewConnections2023;EnergyPerSettlement2023;MG_Hydro2023;MG_PV2023;MG_Wind2023;MG_Diesel2023;SA_Diesel2023;SA_PV2023;Minimum_Tech_Off_grid2023;Minimum_LCOE_Off_grid2023;Off_Grid_Code2023;Elec_Initial_Status_Grid2023;Elec_Init_Status_Offgrid2023;Actual_Elec_Status_2023;Grid_extension2023;MinGridDist2023;ElectrificationOrder2023;MinimumOverall2023;MinimumOverallLCOE2023;MinimumOverallCode2023;InvestmentCost2023;InvestmentCapita2023;ElecStatusIn2023;GridElecIn2023;OffGridElecIn2023;FinalElecCode2023;NewCapacity2023;InvestmentCostLV2023;InvestmentCostMV2023;InvestmentCostHV2023;InvestmentCostTransformer2023;InvestmentCostConnection2023;InfrastructureCapitaCost2023;NewConnections2030;EnergyPerSettlement2030;MG_Hydro2030;MG_PV2030;MG_Wind2030;MG_Diesel2030;SA_Diesel2030;SA_PV2030;Minimum_Tech_Off_grid2030;Minimum_LCOE_Off_grid2030;Off_Grid_Code2030;Elec_Initial_Status_Grid2030;Elec_Init_Status_Offgrid2030;Actual_Elec_Status_2030;Grid_extension2030;MinGridDist2030;ElectrificationOrder2030;MinimumOverall2030;MinimumOverallLCOE2030;MinimumOverallCode2030;InvestmentCost2030;ElecStatusIn2030;GridElecIn2030;OffGridElecIn2030;FinalElecCode2030;NewCapacity2030
0;0;0.04;32.89612;-13.64092;0.008;168913;8.431180426;1165;8;0.04;1.73651;2046;1.8;4.99711;92.06861;2.76966;7.12443;7.12443;221;2216;43.85902;3239214.389;-1680515.179;8.40387628;8.40387628;7.1051;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;2;3;5;3.3;1.06063919;0.07727523;9.452363135;13.61496477;11.00454564;13.61496477;9.452363135;0;0;7.1051;0;0;0;99;2018;5.5;596.3354569;0;0;0;0;0;0;3;11.00454564;481.999099;99;1.301092978;99;1.755927629;0.78500735;0.375882493;SA_PV2023;0.375882493;3;0;0;0;99;0;0;SA_PV2023;0.375882493;3;1439.662781;130.8243728;0;0;0;99;0;0;0;0;0;0;0;13.61496477;596.3354569;99;1.118321985;99;1.57016456;0.781140919;0.385255593;SA_PV2030;0.385255593;3;0;0;1;99;0;0;SA_PV2030;0.385255593;3;1212.233846;1;0;1;3;0.32384895
0;0;0.04;32.89612;-13.57426;0.008;168962;10.68288;1130;14;0.04;0.52785;2074;1.91667;4.93749;95.46527;4.90562;7.92652;7.92652;221;2216;46.47354;3239778.12;-1672361.422;12.32965263;12.32965263;7.85099;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.074094943;11.97678806;17.25108792;13.94350905;17.25108792;11.97678806;0;0;7.85099;0;0;0;99;2018;5.5;755.5976509;0;0;0;0;0;0;3;13.94350905;610.7256964;99;1.08359616;99;1.525434796;0.790873378;0.370807898;SA_PV2023;0.370807898;3;0;0;0;99;0;0;SA_PV2023;0.370807898;3;1799.52391;129.0581806;0;0;0;99;0;0;0;0;0;0;0;17.25108792;755.5976509;99;0.938883502;99;1.378395652;0.787006947;0.380054457;SA_PV2030;0.380054457;3;0;0;1;99;0;0;SA_PV2030;0.380054457;3;1515.246361;1;0;1;3;0.404798913
0;0;0.08001;32.89612;-13.57217;0.017;168967;16.75287319;1130;14;0.08001;0.52785;2074;1.91667;4.95226;95.57865;4.6951;7.79839;7.79839;221;2216;46.5717;3239795.692;-1672106.603;12.45252793;12.45252794;7.72218;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.074877754;18.78197749;27.05312503;21.8661858;27.05312503;18.78197749;0;0;7.72218;0;0;0;99;2018;5.5;1184.926876;0;0;0;0;0;0;3;21.8661858;957.738938;99;0.831838751;99;1.255454096;0.790873378;0.370807898;SA_PV2023;0.370807898;3;0;0;0;99;0;0;SA_PV2023;0.370807898;3;2822.010157;129.0581806;0;0;0;99;0;0;0;0;0;0;0;27.05312503;1184.926876;99;0.734590799;99;1.156868333;0.787006947;0.380054457;SA_PV2030;0.380054457;3;0;0;1;99;0;0;SA_PV2030;0.380054457;3;2376.206616;1;0;1;3;0.634804927
0;0;0.72005;32.89626;-13.49898;0.152;169022;304.86924;1106;9;0.72005;0.48176;2095;1.76667;5.00215;81.67438;2.63401;6.38923;6.38923;221;2216;50.55685;3240425.008;-1663153.419;16.75092263;16.75092263;6.37279;246.3611111;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.077546546;341.7949349;492.3135019;397.9214413;492.3135019;341.7949349;0;0;6.37279;0;0;0;99;2018;5.5;21563.33138;1260.659558;2101.099263;0;0;2093.787526;317.8816599;5;397.9214413;17428.95913;99;0.334369549;99;0.723504655;0.783331557;0.367090969;MG_PV2023;0.334369549;5;0;0;1;99;0;0;MG_PV2023;0.334369549;5;47699.10357;119.8706544;1;0;1;5;9.730189747;0;0;0;0;0;0;94.3920606;4134.372254;99;0.330990589;99;0.720792196;0.779465126;0.376244842;MG_PV2030;0.330990589;5;0;1;1;0.237089219;3.117609498;1;Grid_extension2030;0.237089219;1;5101.071713;1;1;0;1;0.694059269
0;0;0.48003;32.8964;-13.58787;0.101;169023;161.2260111;1151;9;0.48003;0.36425;2070;2;4.9268;94.70865;5.452;8.844;8.844;221;2216;45.82795;3239690.608;-1674026.219;11.5035373;11.5035373;8.77333;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;4;1;5;3;5;3.75;1.093553159;0.073530474;180.7536699;260.3533965;210.4354205;260.3533965;180.7536699;0;0;8.77333;0;0;0;99;2018;5.5;11403.47877;0;0;0;0;0;0;5;210.4354205;9217.071418;99;0.371178992;99;0.761266841;0.795063111;0.371524435;MG_PV2023;0.371178992;5;0;0;0;99;0;0;MG_PV2023;0.371178992;5;27879.54611;132.4850448;0;0;0;99;0;0;0;0;0;0;0;260.3533965;11403.47877;99;0.355724863;99;0.745848936;0.791196679;0.380788862;MG_PV2030;0.355724863;5;0;0;1;99;0;0;MG_PV2030;0.355724863;5;22286.64549;1;0;1;5;6.443189404
0;0;0.04;32.89695;-13.57342;0.008;169026;4.322881702;1130;14;0.04;0.52785;2074;1.91667;4.95226;95.43204;4.85972;7.80002;7.80002;221;2216;46.43108;3239867.225;-1672259.495;12.30308351;12.30308351;7.7244;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.074877754;4.846468178;6.980740429;5.642311823;6.980740429;4.846468178;0;0;7.7244;0;0;0;99;2018;5.5;305.7564308;0;0;0;0;0;0;3;5.642311823;247.1332578;99;2.256684724;99;2.783436588;0.790873378;0.370807898;SA_PV2023;0.370807898;3;0;0;0;99;0;0;SA_PV2023;0.370807898;3;728.1864985;129.0581806;0;0;0;99;0;0;0;0;0;0;0;6.980740429;305.7564308;99;1.903256058;99;2.42412496;0.787006947;0.380054457;SA_PV2030;0.380054457;3;0;0;1;99;0;0;SA_PV2030;0.380054457;3;613.1521432;1;0;1;3;0.163803938
0;0;0.04;32.89695;-13.57509;0.008;169030;4.614590638;1130;12;0.04;0.52785;2074;1.91667;4.97964;95.34144;5.7002;7.90536;7.90536;221;2216;46.35279;3239853.166;-1672463.349;12.20368996;12.20368996;7.83031;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;4;1;3;3;5;3.35;1.063706065;0.076337736;5.173508836;7.451802212;6.023056172;7.451802212;5.173508836;0;0;7.83031;0;0;0;99;2018;5.5;326.3889369;0;0;0;0;0;0;3;6.023056172;263.8098603;99;2.133163644;99;2.650974518;0.790873378;0.370807898;SA_PV2023;0.370807898;3;0;0;0;99;0;0;SA_PV2023;0.370807898;3;777.3246715;129.0581806;0;0;0;99;0;0;0;0;0;0;0;7.451802212;326.3889369;99;1.801802525;99;2.314112567;0.787006947;0.380054457;SA_PV2030;0.380054457;3;0;0;1;99;0;0;SA_PV2030;0.380054457;3;654.5277744;1;0;1;3;0.174857461
0;0;0.04;32.89695;-13.61842;0.008;169031;4.61736766;1155;14;0.04;1.83545;2060;1.63333;4.94323;93.08307;3.44761;9.61047;9.61047;221;2216;44.53735;3239487.025;-1677763.384;9.65255341;9.65255341;9.59121;99.87361111;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.074398764;5.17662221;7.456286644;6.026680797;7.456286644;5.17662221;0;0;9.59121;0;0;0;99;2018;5.5;326.585355;0;0;0;0;0;0;3;6.026680797;263.9686189;99;2.133223258;99;2.649211178;0.776627382;0.373327952;SA_PV2023;0.373327952;3;0;0;0;99;0;0;SA_PV2023;0.373327952;3;783.0784272;129.9352751;0;0;0;99;0;0;0;0;0;0;0;7.456286644;326.585355;99;1.802073579;99;2.31254938;0.77276095;0.382637352;SA_PV2030;0.382637352;3;0;0;1;99;0;0;SA_PV2030;0.382637352;3;659.3725877;1;0;1;3;0.176151756
0;0;0.04;32.89695;-13.63509;0.008;169063;5.350445957;1160;14;0.04;2.81735;2050;1.76667;5.04674;92.26609;2.80392;7.76688;7.76688;221;2216;43.95853;3239345.889;-1679801.76;8.67164918;8.67164918;7.74761;44;0;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.079963403;5.998490788;8.640087094;6.98350928;8.640087094;5.998490788;0;0;7.74761;0;0;0;99;2018;5.5;378.4358147;0;0;0;0;0;0;3;6.98350928;305.8777065;99;1.882849672;99;2.380088378;0.783331557;0.375149064;SA_PV2023;0.375149064;3;0;0;0;99;0;0;SA_PV2023;0.375149064;3;911.8305613;130.5691057;0;0;0;99;0;0;0;0;0;0;0;8.640087094;378.4358147;99;1.596541076;99;2.089030016;0.779465126;0.384503875;SA_PV2030;0.384503875;3;0;0;1;99;0;0;SA_PV2030;0.384503875;3;767.7852637;1;0;1;3;0.205114263
0;0.080005503;0.08001;32.89695;-13.81468;0.017;169064;20.57973021;1180;9;0.08001;0.39754;2049;1.56667;4.76439;85.51475;0.93344;0.73484;0.73484;221;2216;42.56541;3237814.126;-1701761.762;1.90325933;0.78882638;0.71148;340.7546296;0.080005503;43.8;0;0;0;0;0;0;7.738;43.8;160.6;423.4;598.6;Malawi;5;1;5;3;5;3.9;1.107634822;0.065178103;23.07234258;33.23286747;26.86107627;33.23286747;23.07234258;23.07104579;0;0.71148;0;0;0;99;2018;5.5;1455.599595;0;0;0;0;0;0;3;26.86107627;1176.515141;99;0.73135517;99;1.14474248;0.773275797;0.375332152;SA_PV2023;0.375332152;3;0;0;0;99;0;0;SA_PV2023;0.375332152;3;3508.938384;130.632829;0;0;0;99;0;0;0;0;0;0;0;33.23286747;1455.599595;99;0.651788435;99;1.064072398;0.769409365;0.38469153;SA_PV2030;0.38469153;3;0;0;1;99;0;0;SA_PV2030;0.38469153;3;2954.618211;1;0;1;3;0.789327908
