id,wkt
ke1,SRID=4326;POINT(34.7606992 4.9196621)
ke2,SRID=4326;POINT(34.7815325 4.9196621)
ke3,SRID=4326;POINT(34.8023658 4.9196621)
ke4,SRID=4326;POINT(34.9856992 4.9196621)
ke5,SRID=4326;POINT(35.2565325 4.9196621)
ke6,SRID=4326;POINT(35.2648658 4.9196621)
ke7,SRID=4326;POINT(35.3023658 4.9196621)
ke8,SRID=4326;POINT(35.3065325 4.9196621)
ke9,SRID=4326;POINT(35.3273658 4.9196621)
ke10,SRID=4326;POINT(35.3315325 4.9196621)
ke11,SRID=4326;POINT(35.3440325 4.9196621)
ke12,SRID=4326;POINT(35.3481992 4.9196621)
ke13,SRID=4326;POINT(35.3648658 4.9196621)
ke14,SRID=4326;POINT(35.3856992 4.9196621)
ke15,SRID=4326;POINT(35.3898658 4.9196621)
ke16,SRID=4326;POINT(35.3940325 4.9196621)
ke17,SRID=4326;POINT(35.4023658 4.9196621)
ke18,SRID=4326;POINT(35.4106992 4.9196621)
ke19,SRID=4326;POINT(35.4148658 4.9196621)
ke20,SRID=4326;POINT(35.4315325 4.9196621)
ke21,SRID=4326;POINT(35.4565325 4.9196621)
ke22,SRID=4326;POINT(35.4981992 4.9196621)
ke23,SRID=4326;POINT(35.5023658 4.9196621)
ke24,SRID=4326;POINT(35.5106992 4.9196621)
ke25,SRID=4326;POINT(35.5190325 4.9196621)
ke26,SRID=4326;POINT(35.5356992 4.9196621)
ke27,SRID=4326;POINT(35.5440325 4.9196621)
ke28,SRID=4326;POINT(35.6481992 4.9196621)
ke29,SRID=4326;POINT(35.6523658 4.9196621)
ke30,SRID=4326;POINT(35.6565325 4.9196621)
ke31,SRID=4326;POINT(35.6606992 4.9196621)
ke32,SRID=4326;POINT(35.6648658 4.9196621)
ke33,SRID=4326;POINT(35.6773658 4.9196621)
ke34,SRID=4326;POINT(34.7398658 4.9154954)
ke35,SRID=4326;POINT(34.7731992 4.9154954)
ke36,SRID=4326;POINT(34.9731992 4.9154954)
ke37,SRID=4326;POINT(35.2606992 4.9154954)
ke38,SRID=4326;POINT(35.2648658 4.9154954)
ke39,SRID=4326;POINT(35.2731992 4.9154954)
ke40,SRID=4326;POINT(35.3023658 4.9154954)
ke41,SRID=4326;POINT(35.3065325 4.9154954)
ke42,SRID=4326;POINT(35.3106992 4.9154954)
ke43,SRID=4326;POINT(35.3148658 4.9154954)
ke44,SRID=4326;POINT(35.3273658 4.9154954)
ke45,SRID=4326;POINT(35.3565325 4.9154954)
ke46,SRID=4326;POINT(35.3648658 4.9154954)
ke47,SRID=4326;POINT(35.3773658 4.9154954)
ke48,SRID=4326;POINT(35.3815325 4.9154954)
ke49,SRID=4326;POINT(35.3856992 4.9154954)
ke50,SRID=4326;POINT(35.3898658 4.9154954)
ke51,SRID=4326;POINT(35.4106992 4.9154954)
ke52,SRID=4326;POINT(35.4190325 4.9154954)
ke53,SRID=4326;POINT(35.4565325 4.9154954)
ke54,SRID=4326;POINT(35.4940325 4.9154954)
ke55,SRID=4326;POINT(35.6315325 4.9154954)
ke56,SRID=4326;POINT(35.6648658 4.9154954)
ke57,SRID=4326;POINT(35.6690325 4.9154954)
ke58,SRID=4326;POINT(34.7398658 4.9113287)
ke59,SRID=4326;POINT(34.7481992 4.9113287)
ke60,SRID=4326;POINT(34.9731992 4.9113287)
